Timestamp,Camera_ID,Local_Track_ID,Assigned_Global_ID,Ground_Truth_ID
34.73,Cam_07,1000,1,23
51.14,Cam_11,1001,2,38
54.01,Cam_05,1002,3,36
68.51,Cam_05,1003,3,72
72.30,Cam_07,1004,4,62
79.10,Cam_06,1005,1,36
86.91,Cam_20,1006,5,60
87.42,Cam_14,1007,6,89
90.46,Cam_02,1008,7,103
90.51,Cam_02,1009,8,78
91.36,Cam_18,1010,9,98
93.35,Cam_11,1011,10,38
93.76,Cam_07,1012,4,36
94.16,Cam_04,1013,3,72
111.94,Cam_01,1014,8,78
112.66,Cam_10,1015,2,38
113.54,Cam_08,1016,4,23
117.86,Cam_15,1017,6,89
117.88,Cam_01,1018,7,123
120.01,Cam_15,1019,11,45
120.21,Cam_19,1020,12,95
125.00,Cam_19,1021,5,60
129.16,Cam_06,1022,13,62
146.26,Cam_19,1023,9,75
147.18,Cam_06,1024,13,16
148.62,Cam_05,1025,1,125
149.45,Cam_18,1026,9,127
152.30,Cam_03,1027,3,72
153.64,Cam_07,1028,4,36
163.47,Cam_18,1029,9,75
164.03,Cam_14,1030,6,102
164.10,Cam_03,1031,3,103
164.97,Cam_09,1032,2,104
165.27,Cam_20,1033,14,13
166.73,Cam_07,1034,4,36
167.79,Cam_06,1035,13,62
169.96,Cam_07,1036,4,16
173.88,Cam_11,1037,15,18
180.27,Cam_05,1038,13,21
180.99,Cam_19,1039,9,98
182.82,Cam_20,1040,5,142
183.97,Cam_07,1041,4,16
185.93,Cam_14,1042,6,89
189.16,Cam_10,1043,2,54
189.38,Cam_05,1044,13,125
189.40,Cam_10,1045,10,38
190.00,Cam_02,1046,8,78
193.00,Cam_18,1047,9,75
193.40,Cam_20,1048,5,13
194.92,Cam_08,1049,4,23
202.90,Cam_11,1050,10,38
203.52,Cam_03,1051,16,103
204.19,Cam_02,1052,7,17
204.89,Cam_02,1053,8,78
205.62,Cam_09,1054,4,104
206.82,Cam_03,1055,17,31
207.24,Cam_15,1056,6,102
211.29,Cam_03,1057,18,77
212.69,Cam_20,1058,5,98
216.97,Cam_03,1059,16,72
217.54,Cam_03,1060,7,94
221.67,Cam_06,1061,1,62
222.20,Cam_14,1062,6,102
222.66,Cam_16,1063,19,68
223.57,Cam_16,1064,11,45
224.89,Cam_01,1065,20,123
225.23,Cam_19,1066,21,95
228.21,Cam_08,1067,22,96
232.52,Cam_19,1068,9,60
233.38,Cam_20,1069,5,13
236.46,Cam_02,1070,3,72
236.61,Cam_12,1071,15,18
239.11,Cam_20,1072,5,76
242.41,Cam_18,1073,9,75
245.51,Cam_05,1074,23,33
245.83,Cam_03,1075,3,103
247.30,Cam_06,1076,24,100
248.27,Cam_07,1077,1,16
249.00,Cam_19,1078,5,142
250.10,Cam_13,1079,25,115
250.66,Cam_12,1080,10,38
255.72,Cam_10,1081,4,104
255.93,Cam_20,1082,5,60
256.27,Cam_07,1083,1,23
